Source: DOI-10.1364/OE.16.004029
Wavelength, TPA
610, 45
620, 52
630, 62
640, 65
650, 57
660, 40
670, 26
680, 17
690, 13
700, 14
710, 16
720, 21
730, 24
740, 30
750, 36
760, 45
770, 41
780, 45
790, 35
800, 36
810, 32
820, 28
830, 18
840, 13
850, 11
860, 12
870, 10
880, 12
890, 14
900, 15
910, 16
920, 16
930, 14
940, 11
950, 8.0
960, 6.3
970, 5.7
980, 5.2
990, 4.2
1000, 2.7
1010, 1.6
1020, 1.0
1030, 0.58
1040, 0.31
1050, 0.16
1060, 0.073
1070, 0.044
1080, 0.021
1090, 0.031
