Source: DOI-10.1364/OE.16.004029
Wavelength, TPA
550, 7.4
560, 6.2
570, 4.8
580, 4.0
590, 3.3
600, 3.0
610, 3.0
620, 3.1
630, 3.5
640, 3.9
650, 4.1
660, 4.5
670, 4.6
680, 4.9
690, 6.1
700, 8.1
710, 12
720, 17
730, 24
740, 28
750, 33
760, 30
770, 33
780, 32
790, 42
800, 45
810, 45
820, 42
830, 41
840, 38
850, 32
860, 25
870, 16
880, 8.5
890, 3.5
900, 1.4
910, 0.58
920, 0.29
930, 0.17
940, 0.12
950, 0.074
960, 0.041
970, 0.023
980, 0.020
990, 0.024
1000, 0.013
1010, 0.014
