Source: DOI-10.1364/OE.16.004029
Wavelength, TPA
570, 5.4
580, 4.3
590, 3.9
600, 3.7
610, 3.3
620, 3.1
630, 2.9
640, 2.7
650, 2.5
660, 2.1
670, 1.6
680, 1.3
690, 1.2
700, 1.2
710, 1.5
720, 1.7
730, 1.3
740, 1.2
750, 1.3
760, 0.96
770, 1.7
780, 1.5
790, 3.1
800, 3.0
810, 3.7
820, 4.5
830, 3.5
840, 2.7
850, 2.3
860, 2.5
870, 2.4
880, 1.4
890, 0.49
900, 0.14
910, 0.046
920, 0.025
930, 0.017
940, 0.016
950, 0.013
960, 0.012
970, 0.011
980, 0.014
990, 0.011
1000, 0.0075
