Source: DOI-10.1364/OE.16.004029
Wavelength, TPA
550, 6.6
560, 4.3
570, 2.6
580, 2.3
590, 2.9
600, 2.6
610, 3.1
620, 3.4
630, 3.8
640, 3.9
650, 3.7
660, 3.7
670, 4.0
680, 4.8
690, 6.6
700, 11
710, 16
720, 23
730, 32
740, 29
750, 35
760, 35
770, 33
780, 33
790, 35
800, 37
810, 31
820, 26
830, 28
840, 22
850, 18
860, 12
870, 10
880, 7.4
890, 2.8
900, 2.8
910, 1.5
920, 0.73
930, 0.36
940, 0.18
950, 0.089
960, 0.045
970, 0.024
980, 0.016
990, 0.0097
1000, 0.0065
