Source: DOI-10.1364/OE.16.004029
Wavelength, TPA
560, 0.90
570, 0.61
580, 0.47
590, 0.32
600, 0.22
610, 0.12
620, 0.063
630, 0.053
640, 0.055
650, 0.068
660, 0.10
670, 0.13
680, 0.16
690, 0.24
700, 0.34
710, 0.39
720, 0.51
730, 0.65
740, 0.71
750, 0.85
760, 0.99
770, 1.3
780, 1.2
790, 2.8
800, 2.6
810, 2.6
820, 2.7
830, 2.8
840, 2.9
850, 2.6
860, 2.3
870, 2.0
880, 1.7
890, 1.4
900, 1.0
910, 0.73
920, 0.51
930, 0.35
940, 0.24
950, 0.15
960, 0.092
970, 0.053
980, 0.034
990, 0.022
1000, 0.013
