Source: DOI-10.1364/OE.16.004029
Wavelength, TPA
630, 5.4
640, 6.2
650, 10
660, 18
670, 30
680, 55
690, 97
700, 130
710, 94
720, 63
730, 50
740, 53
750, 55
760, 55
770, 59
780, 56
790, 61
800, 65
810, 70
820, 64
830, 51
840, 42
850, 23
860, 12
870, 6.4
880, 4.4
890, 3.8
900, 4.2
910, 4.9
920, 5.7
930, 6.6
940, 8.3
950, 9.2
960, 11
970, 12
980, 13
990, 12
1000, 9.5
1010, 7.6
1020, 7.1
1030, 7.6
1040, 8.3
1050, 9.5
1060, 9.9
1070, 9.2
1080, 7.0
1090, 4.8
