Source: DOI-10.1364/OE.16.004029
Wavelength, TPA
650, 53
660, 73
670, 96
680, 130
690, 180
700, 240
710, 180
720, 120
730, 86
740, 68
750, 67
760, 72
770, 83
780, 95
790, 110
800, 120
810, 260
820, 300
830, 200
840, 180
850, 180
860, 110
870, 74
880, 54
890, 27
900, 13
910, 7.3
920, 6.0
930, 6.4
940, 7.7
950, 9.3
960, 11
970, 12
980, 14
990, 18
1000, 22
1010, 28
1020, 34
1030, 39
1040, 39
1050, 38
1060, 31
1070, 27
1080, 24
1090, 25
1100, 24
1110, 21
1120, 16
1130, 8.9
1140, 4.2
1150, 2.6
1160, 1.7
1170, 0.78
1180, 0.33
1190, 0.26
1200, 0.19
1210, 0.12
1220, 0.056
1230, 0.056
1240, 0.058
1250, 0.052
